"My Returns (RMA)","Moje zwroty (RMA)"
"Excluded Product SKUs","Wykluczone SKU produktów"
"Comma-separated list of product SKUs that cannot be returned (e.g. GIFT-CARD,DOWNLOAD-123). Leave empty for no exclusions.","Lista SKU produktów oddzielona przecinkami, które nie mogą być zwracane (np. GIFT-CARD,DOWNLOAD-123). Pozostaw puste, aby nie wykluczać żadnych produktów."
"This product cannot be returned.","Ten produkt nie może zostać zwrócony."
"The return window for this item has expired.","Okno zwrotu dla tej pozycji wygasło."
"The return window for product \"%1\" has expired.","Okno zwrotu dla produktu \"%1\" wygasło."
"RMA Return Policy","Polityka zwrotów RMA"
"Guest Return Request (RMA)","Zwrot zamówienia gościa (RMA)"
"Order Return (RMA)","Zwrot zamówienia (RMA)"
"Order ID / Number","Identyfikator / numer zamówienia"
"Email Address","Adres e-mail"
"Billing Last Name","Nazwisko rozliczeniowe"
"Find Order","Znajdź zamówienie"
"Select Items","Wybierz produkty"
"Please select","Wybierz"
"Comment","Komentarz"
"Maximum file size: %1 MB","Maksymalny rozmiar pliku: %1 MB"
"I accept the","Akceptuję"
"Terms and Conditions","Warunki zwrotu"
"Action","Akcja"
"View","Zobacz"
"No messages yet.","Brak wiadomości."
"Add Message","Dodaj wiadomość"
"Send Message","Wyślij wiadomość"
"Are you sure you want to cancel this RMA?","Czy na pewno chcesz anulować to RMA?"
"Please select at least one item and complete all required fields.","Wybierz co najmniej jeden produkt i uzupełnij wszystkie wymagane pola."
"Failed to load order items.","Nie udało się pobrać produktów z zamówienia."
"Network error. Please try again.","Błąd sieci. Spróbuj ponownie."
"Qty","Ilość"
"The return window has expired.","Termin zwrotu upłynął."
"This item cannot be returned.","Tego produktu nie można zwrócić."
"Use Global Return Window","Użyj globalnego okna zwrotu"
"Return Policies","Polityki zwrotów"
"Manage Return Policies","Zarządzaj politykami zwrotów"
"Add New Policy","Dodaj nową politykę"
"Delete Policy","Usuń politykę"
"Are you sure you want to delete policy \"%1\"?","Czy na pewno chcesz usunąć politykę \"%1\"?"
"Policy Name","Nazwa polityki"
"Days for Refund","Dni na zwrot gotówki"
"Days for Exchange","Dni na wymianę"
"Days for Repair","Dni na naprawę"
"Days for Voucher","Dni na voucher"
"Edit Return Policy \"%1\"","Edytuj politykę zwrotów \"%1\""
"New Return Policy","Nowa polityka zwrotów"
"You saved the return policy.","Polityka zwrotów została zapisana."
"Something went wrong while saving the return policy.","Coś poszło nie tak podczas zapisywania polityki zwrotów."
"This return policy no longer exists.","Ta polityka zwrotów już nie istnieje."
"We can't find a return policy to delete.","Nie można odnaleźć polityki zwrotów do usunięcia."
"You have deleted the return policy.","Polityka zwrotów została usunięta."
"Return Addresses","Adresy zwrotne"
"Manage Return Addresses","Zarządzaj adresami zwrotnymi"
"Add New Address","Dodaj nowy adres"
"Delete Address","Usuń adres"
"Are you sure you want to delete address \"%1\"?","Czy na pewno chcesz usunąć adres \"%1\"?"
"Address Name / Label","Nazwa adresowa / Etykieta"
"Street Address","Adres (ulica)"
"City","Miasto"
"Postal Code","Kod pocztowy"
"Country","Kraj"
"Phone Number","Numer telefonu"
"Is Default Return Address","Czy jest to domyślny adres zwrotny"
"Edit Return Address \"%1\"","Edytuj adres zwrotny \"%1\""
"New Return Address","Nowy adres zwrotny"
"You saved the return address.","Adres zwrotny został zapisany."
"Something went wrong while saving the return address.","Coś poszło nie tak podczas zapisywania adresu zwrotnego."
"This return address no longer exists.","Ten adres zwrotny już nie istnieje."
"We can't find a return address to delete.","Nie można odnaleźć adresu zwrotnego do usunięcia."
"You have deleted the return address.","Adres zwrotny został usunięty."
"Kkkonrad RMA resolution: refund","Zwrot pieniędzy"
"Kkkonrad RMA resolution: exchange","Wymiana"
"Kkkonrad RMA resolution: repair","Naprawa"
"Kkkonrad RMA resolution: voucher","Bon sklepowy"
"Back","Wstecz"
"Delete Reason","Usuń powód"
"Delete Condition","Usuń stan produktu"
"Delete Resolution","Usuń sposób rozpatrzenia"
"Delete Canned Reply","Usuń gotową odpowiedź"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Save","Zapisz"
"Edit Return Address ""%1""","Edytuj adres zwrotny „%1”"
"You have deleted the canned reply.","Gotowa odpowiedź została usunięta."
"This canned reply no longer exists.","Ta gotowa odpowiedź już nie istnieje."
"We can't find a canned reply to delete.","Nie można znaleźć gotowej odpowiedzi do usunięcia."
"Edit Canned Reply ""%1""","Edytuj gotową odpowiedź „%1”"
"New Canned Reply","Nowa gotowa odpowiedź"
"Manage Canned Replies","Zarządzaj gotowymi odpowiedziami"
"Canned Replies","Gotowe odpowiedzi"
"You saved the canned reply.","Gotowa odpowiedź została zapisana."
"Something went wrong while saving the canned reply.","Wystąpił błąd podczas zapisywania gotowej odpowiedzi."
"You have deleted the item condition.","Stan produktu został usunięty."
"This item condition no longer exists.","Ten stan produktu już nie istnieje."
"We can't find an item condition to delete.","Nie można znaleźć stanu produktu do usunięcia."
"Edit Item Condition ""%1""","Edytuj stan produktu „%1”"
"New Item Condition","Nowy stan produktu"
"You saved the item condition.","Stan produktu został zapisany."
"Something went wrong while saving the item condition.","Wystąpił błąd podczas zapisywania stanu produktu."
"Edit Return Policy ""%1""","Edytuj politykę zwrotów „%1”"
"You have deleted the return reason.","Powód zwrotu został usunięty."
"This return reason no longer exists.","Ten powód zwrotu już nie istnieje."
"We can't find a return reason to delete.","Nie można znaleźć powodu zwrotu do usunięcia."
"Edit Return Reason ""%1""","Edytuj powód zwrotu „%1”"
"New Return Reason","Nowy powód zwrotu"
"You saved the return reason.","Powód zwrotu został zapisany."
"Something went wrong while saving the return reason.","Wystąpił błąd podczas zapisywania powodu zwrotu."
"You have deleted the return resolution.","Sposób rozpatrzenia zwrotu został usunięty."
"This return resolution no longer exists.","Ten sposób rozpatrzenia zwrotu już nie istnieje."
"We can't find a return resolution to delete.","Nie można znaleźć sposobu rozpatrzenia zwrotu do usunięcia."
"Edit Return Resolution ""%1""","Edytuj sposób rozpatrzenia zwrotu „%1”"
"New Return Resolution","Nowy sposób rozpatrzenia zwrotu"
"Manage Return Resolutions","Zarządzaj sposobami rozpatrzenia zwrotów"
"Return Resolutions","Sposoby rozpatrzenia zwrotów"
"You saved the return resolution.","Sposób rozpatrzenia zwrotu został zapisany."
"Something went wrong while saving the return resolution.","Wystąpił błąd podczas zapisywania sposobu rozpatrzenia zwrotu."
"Message cannot be empty.","Wiadomość nie może być pusta."
"Message has been added.","Wiadomość została dodana."
"An error occurred while adding the message.","Wystąpił błąd podczas dodawania wiadomości."
"An error occurred while approving the RMA.","Wystąpił błąd podczas zatwierdzania RMA."
"Invalid parameters.","Nieprawidłowe parametry."
"An error occurred while updating the RMA status.","Wystąpił błąd podczas aktualizacji statusu RMA."
"Create Return Request (RMA)","Utwórz zgłoszenie zwrotu (RMA)"
"This order has no items that can be returned.","To zamówienie nie zawiera produktów, które można zwrócić."
"Created by admin from backend.","Utworzone przez administratora w panelu administracyjnym."
"RMA initiated by store administrator.","RMA utworzone przez administratora sklepu."
"RMA has been successfully initiated.","RMA zostało pomyślnie utworzone."
"An error occurred while creating the RMA.","Wystąpił błąd podczas tworzenia RMA."
"RMA has been deleted.","RMA zostało usunięte."
"An error occurred while deleting the RMA.","Wystąpił błąd podczas usuwania RMA."
"New RMA","Nowe RMA"
"Manage Returns","Zarządzaj zwrotami"
"%1 RMA(s) deleted successfully.","Pomyślnie usunięto RMA: %1."
"%1 RMA(s) could not be deleted.","Nie udało się usunąć RMA: %1."
"Invalid resolution type: %1","Nieprawidłowy sposób rozpatrzenia: %1"
"RMA has been saved.","RMA zostało zapisane."
"Please select a return reason for every selected item.","Wybierz powód zwrotu dla każdego zaznaczonego produktu."
"Please select an item condition for every selected item.","Wybierz stan produktu dla każdego zaznaczonego produktu."
"The return request has been submitted successfully.","Zgłoszenie zwrotu zostało pomyślnie wysłane."
"Order ID is required.","Identyfikator zamówienia jest wymagany."
"Order status ""%1"" is not eligible for returns.","Status zamówienia „%1” nie pozwala na zwrot."
"File size cannot exceed %1MB.","Rozmiar pliku nie może przekraczać %1 MB."
"Guest Returns are not allowed.","Zwroty gości są wyłączone."
"Invalid request parameters.","Nieprawidłowe parametry żądania."
"Access denied. Invalid tracking link.","Odmowa dostępu. Nieprawidłowy odnośnik śledzenia."
"Guest Customer","Klient niezalogowany"
"RMA cancellation is not allowed.","Anulowanie RMA jest niedozwolone."
"Cancelled by guest customer.","Anulowane przez klienta niezalogowanego."
"Please search for your order first.","Najpierw wyszukaj swoje zamówienie."
"New Return Request (Guest)","Nowe zgłoszenie zwrotu (gość)"
"Access denied. Please search for your order first.","Odmowa dostępu. Najpierw wyszukaj swoje zamówienie."
"You must accept the return terms and conditions.","Musisz zaakceptować warunki zwrotu."
"At least one of your selected return reasons requires photographic verification. Please attach at least one image or document.","Co najmniej jeden z wybranych powodów zwrotu wymaga potwierdzenia zdjęciem. Załącz co najmniej jedno zdjęcie lub dokument."
"One or more attachments are invalid.","Co najmniej jeden załącznik jest nieprawidłowy."
"Please fill in all search fields.","Wypełnij wszystkie pola wyszukiwania."
"The order details do not match our records.","Dane zamówienia nie są zgodne z naszymi danymi."
"Return Request Details (Guest) #%1","Szczegóły zgłoszenia zwrotu (gość) nr %1"
"Return Slip - RMA #%1","Dokument zwrotu – RMA nr %1"
"Return Request Details","Szczegóły zgłoszenia zwrotu"
"The current customer is not authorized.","Bieżący klient nie ma uprawnień."
"rma_id is required.","Pole rma_id jest wymagane."
"message cannot be empty.","Pole message nie może być puste."
"RMA not found or access denied.","Nie znaleziono RMA lub odmówiono dostępu."
"RMA with ID %1 not found.","Nie znaleziono RMA o identyfikatorze %1."
"order_id is required.","Pole order_id jest wymagane."
"resolution_type is required.","Pole resolution_type jest wymagane."
"items list cannot be empty.","Lista items nie może być pusta."
"Order not found or access denied.","Nie znaleziono zamówienia lub odmówiono dostępu."
"Order with ID %1 not found.","Nie znaleziono zamówienia o identyfikatorze %1."
"order_item_id is required for each item.","Pole order_item_id jest wymagane dla każdego produktu."
"qty must be positive.","Pole qty musi mieć wartość dodatnią."
"A return request must contain at least one item.","Zgłoszenie zwrotu musi zawierać co najmniej jeden produkt."
"Invalid return item data.","Nieprawidłowe dane zwracanego produktu."
"RMA is currently unavailable.","Obsługa RMA jest obecnie niedostępna."
"Invalid resolution type.","Nieprawidłowy sposób rozpatrzenia."
"An order item can only be included once in a return request.","Produkt z zamówienia można dodać do zgłoszenia zwrotu tylko raz."
"Invalid message author type.","Nieprawidłowy typ autora wiadomości."
"Return quantity (%1) cannot exceed available quantity (%2) for ""%3"".","Liczba zwracanych sztuk (%1) nie może przekraczać dostępnej liczby (%2) dla produktu „%3”."
"Invalid or inactive return reason.","Nieprawidłowy lub nieaktywny powód zwrotu."
"Invalid or inactive item condition.","Nieprawidłowy lub nieaktywny stan produktu."
"Product ""%1"" (SKU: %2) cannot be returned.","Produkt „%1” (SKU: %2) nie podlega zwrotowi."
"The return window for product ""%1"" has expired.","Termin zwrotu produktu „%1” upłynął."
"Failed to validate return window.","Nie udało się zweryfikować terminu zwrotu."
"Could not save RMA: %1","Nie udało się zapisać RMA: %1"
"RMA with ID ""%1"" does not exist.","RMA o identyfikatorze „%1” nie istnieje."
"RMA with increment ID ""%1"" does not exist.","RMA o numerze „%1” nie istnieje."
"Could not delete RMA with ID %1: %2","Nie udało się usunąć RMA o identyfikatorze %1: %2"
"Admin","Administrator"
"System","System"
"Invalid RMA status ""%1"". Valid statuses are: %2","Nieprawidłowy status RMA „%1”. Dozwolone statusy: %2"
"Unknown current RMA status ""%1"".","Nieznany bieżący status RMA „%1”."
"Cannot transition RMA from ""%1"" to ""%2"". Allowed transitions from ""%1"": %3","Nie można zmienić statusu RMA z „%1” na „%2”. Dozwolone przejścia ze statusu „%1”: %3"
"Cannot transition","Zmiana statusu jest niedozwolona"
"Edit","Edytuj"
"Delete","Usuń"
"Are you sure you want to delete address ""%1""?","Czy na pewno chcesz usunąć adres „%1”?"
"Are you sure you want to delete canned reply ""%1""?","Czy na pewno chcesz usunąć gotową odpowiedź „%1”?"
"Are you sure you want to delete condition ""%1""?","Czy na pewno chcesz usunąć stan produktu „%1”?"
"Are you sure you want to delete policy ""%1""?","Czy na pewno chcesz usunąć politykę „%1”?"
"Are you sure you want to delete reason ""%1""?","Czy na pewno chcesz usunąć powód „%1”?"
"Are you sure you want to delete resolution ""%1""?","Czy na pewno chcesz usunąć sposób rozpatrzenia „%1”?"
"Delete RMA","Usuń RMA"
"Are you sure you want to delete RMA #%1?","Czy na pewno chcesz usunąć RMA nr %1?"
"RMA request not found.","Nie znaleziono zgłoszenia RMA."
"Are you sure you want to approve this RMA? If it is a refund, a Credit Memo will be generated.","Czy na pewno chcesz zatwierdzić to RMA? W przypadku zwrotu pieniędzy zostanie utworzona nota kredytowa."
"Approve RMA","Zatwierdź RMA"
"Are you sure you want to reject this RMA?","Czy na pewno chcesz odrzucić to RMA?"
"Reject RMA","Odrzuć RMA"
"Cancel RMA","Anuluj RMA"
"Mark as Item Received","Oznacz produkt jako otrzymany"
"Mark as Resolved","Oznacz jako rozwiązane"
"Close RMA","Zamknij RMA"
"RMA Information","Informacje o RMA"
"RMA #","Numer RMA"
"Resolution Type","Sposób rozpatrzenia"
"Created At","Data utworzenia"
"Customer & Order Information","Informacje o kliencie i zamówieniu"
"Customer Name","Nazwa klienta"
"Are you sure you want to delete this shipping label?","Czy na pewno chcesz usunąć tę etykietę wysyłkową?"
"Upload PDF Label","Prześlij etykietę PDF"
"Items Requested for Return","Produkty zgłoszone do zwrotu"
"Product Name","Nazwa produktu"
"SKU","SKU"
"Quantity","Liczba sztuk"
"Reason","Powód"
"Condition","Stan produktu"
"Price","Cena"
"N/A","Nie dotyczy"
"Communication Thread","Historia komunikacji"
"No messages in thread.","Brak wiadomości."
"Support","Obsługa klienta"
"Internal Note","Notatka wewnętrzna"
